data,ispb,instituicao,natureza_usuario,tipo_chave,qtd_chaves
2025-06-30,67960229,CC CREDIGUAÇU,PF,Celular,6255
2024-06-30,07564184,COOP ASCOOB SERTÕES,PF,Celular,6
2023-02-28,07440317,CC SICOOB CREDMED,PJ,Celular,1
2025-01-31,33641877,EQUIS BANK,PJ,e-mail,4
2024-10-31,07097064,COOP SICOOB CONFIANÇA,PF,Aleatória,2427
2024-12-31,70431630,COOP SICREDI UNIVALES MT/RO,PF,Aleatória,31187
2024-12-31,92934215,BANRISUL PAGAMENTOS IP,PJ,Aleatória,58545
2023-12-31,73647935,COOP UNIQUE BR LTDA.,PF,e-mail,1575
2024-05-31,09639338,CECM PRAIA GRANDE E REGIãO,PJ,Celular,1
2024-10-31,05428587,COOP CRESOL OLIVEIRA DOS BREJINHOS,PJ,e-mail,1
2023-08-31,22896431,PICPAY,PJ,Celular,4254
2025-06-30,30507541,BRASIL CASH IP S.A.,PJ,CNPJ,22
2023-01-31,11760553,GAZINCRED S.A. SCFI,PF,e-mail,8
2023-10-31,33172537,BCO J.P. MORGAN S.A.,PJ,CNPJ,17
2024-06-30,71432926,CCPS E LA DO TRIANG MINEIRO E SUL DE MG LTDA,PF,Celular,907
2024-03-31,09515813,ABASTECE AI,PJ,Aleatória,1
2024-01-31,87733077,COOP SICREDI ESSÊNCIA,PF,e-mail,8699
2023-02-28,01760242,CCLA DE BH E CIDADES POLO DE MG,PJ,e-mail,572
2024-03-31,01864151,CECM SERV E EMPREG PUBL MUN BH BETIM BRUMAD CONTAG IBI NL RN,PF,Celular,590
2024-07-31,30385259,VOLUTI,PF,CPF,3
2024-07-31,00707903,CC VALE DO CANOAS,PF,Aleatória,591
2025-07-31,25387671,CC ALTO PARANAIBA E REGIÃO,PJ,Celular,907
2023-02-28,08357240,BCO CSF S.A.,PJ,Aleatória,1
2025-06-30,27842177,BPY CCTVM S.A.,PF,CPF,24
2024-06-30,04237413,COOP SICREDI VALE SÃO FRANCISCO,PF,Aleatória,3170
2025-07-31,40557732,BNS CAPITAL PAGAMENTOS LTDA,PF,e-mail,3
2023-03-31,07206072,COOP SICREDI NOVOS HORIZONTES PR/SP/RJ,PJ,Celular,866
2024-11-30,04694278,CECM INTEG. MF DP ESTADO RJ,PF,Celular,764
2024-06-30,06332931,COOP SICREDI CERRADO GO,PJ,e-mail,1406
2023-05-31,40867163,N26 SCD,PF,Celular,18995
2024-10-31,07679404,BANCO TOPÁZIO S.A.,PF,Aleatória,27
2025-02-28,95213211,COOP SICREDI CAMINHO DAS ÁGUAS RS,PJ,CNPJ,10066
2024-09-30,09639338,CECM PRAIA GRANDE E REGIãO,PF,e-mail,1
2023-09-30,05888589,COOP SUL,PF,Celular,3804
2024-03-31,81723108,CREDICOAMO,PF,e-mail,1426
2023-04-30,41805003,CCLA ALTO SÃO FRANCISCO,PF,Aleatória,1003
2024-02-29,26960328,CCLA DO TOCANTINS,PJ,Celular,926
2025-03-31,92702067,BCO DO ESTADO DO RS S.A.,PJ,e-mail,26009
2025-06-30,35534511,A27 IP S/A,PJ,e-mail,18
2023-12-31,78157146,CREDIALIANÇA CCR,PJ,Aleatória,4
2023-05-31,42873828,CC AGROCREDI LTDA,PJ,e-mail,1076
2023-12-31,89280960,CECM DOS EMPR DAS EMP RANDON,PF,CPF,71
2023-06-30,71328769,SICOOB COCRED CC,PJ,e-mail,1745
2025-07-31,26960328,CCLA DO TOCANTINS,PF,Celular,4579
2024-12-31,05276770,COOP CRESOL FRONTEIRAS PR/SC/SP/ES,PJ,Celular,1043
2024-10-31,37511258,INOVANTI IP S.A.,PJ,CNPJ,190
2023-08-31,00804046,COOP CREDICAPI LTDA - SICOOB CREDICAPI,PF,Celular,1236
2023-10-31,02335109,CCLA ZONA DA MATA LTDA,PF,Celular,2748
2024-09-30,03528402,CC INV DO ACRE - SICOOB ACRE,PF,Celular,2
2023-05-31,02015588,CCLA DO CENTRO SUL RONDONIENSE,PF,Aleatória,11299
2025-02-28,28505126,LOGBANK IP S.A.,PF,Celular,321
2023-05-31,32074986,BEETELLER,PJ,e-mail,2
2024-07-31,02904138,COOP CRESOL ÁUREA,PF,CPF,519
2024-10-31,27084098,TRANSFEERA IP S.A.,PJ,e-mail,751819
2024-04-30,39587424,UY3 SCD S/A,PJ,Aleatória,20
2024-10-31,07946451,COOP CRESOL ATIVA,PJ,e-mail,429
2024-12-31,01042487,CC SICOOB UNIDAS,PF,Celular,11
2025-06-30,05392810,CC REGIÃO MERIDIONAL BRASIL,PJ,e-mail,1662
2024-11-30,01637949,CCLA VALE DO PARANAPANEMA,PF,Aleatória,1797
2025-07-31,87510475,COOP SICREDI ROTA DAS TERRAS RS/MG,PJ,Celular,1148
2024-05-31,10209619,CCLA DA GRANDE GOIÂNIA LTDA.,PF,Celular,957
2025-01-31,02910987,COOP CRESOL CENTRO SUL RS/MS,PJ,CNPJ,2294
2023-04-30,03612764,COOP FRONTEIRAS,PF,Celular,2988
2024-12-31,00315557,UNICRED DO BRASIL,PJ,Celular,1
2025-02-28,00714671,EWALLY IP S.A.,PF,Celular,1897
2024-01-31,32983165,COOP SICREDI VL DO CERRADO,PJ,e-mail,888
2025-07-31,21670187,CC CREDIBOM,PJ,CNPJ,2415
2023-11-30,95594941,COOP SICREDI REG CENTRO RS/MG,PJ,CNPJ,8838
2025-07-31,35257964,CICLLOS PAY,PF,Celular,11
2024-05-31,25420696,CC CREDINACIONAL LTDA - SICOOB CREDINACIONAL,PJ,Celular,456
2025-01-31,04862600,PORTOSEG S.A. CFI,PF,e-mail,9
2025-07-31,01286361,UNIPRIME PIONEIRA CC,PJ,Celular,783
2023-12-31,99999060,N/A,PF,Aleatória,5
2023-12-31,02934201,COOP CRESOL LIDERANCA,PF,e-mail,701
2024-10-31,62073200,BOFA MERRILL LYNCH BM S.A.,PJ,CNPJ,36
2024-09-30,44683140,MAGNUM SCD,PF,e-mail,110
2023-07-31,41805003,CCLA ALTO SÃO FRANCISCO,PF,Aleatória,1080
2024-11-30,26960328,CCLA DO TOCANTINS,PJ,Celular,1047
2023-05-31,08044854,CC INVESTIMENTO SICOOB CENTRO,PF,CPF,13717
2024-06-30,02275781,CCM SERV FEDERAIS NA PARAÍBA - SICOOB COOPERCRET,PF,CPF,407
2023-04-30,18966739,CC COPERSUL LTDA,PJ,Aleatória,182
2023-09-30,00795423,BANCO SEMEAR,PJ,e-mail,19
2024-02-29,17819084,PAGCERTO IP LTDA.,PJ,Aleatória,10544
2025-03-31,13059145,EBURY BCO DE CÂMBIO S.A.,PJ,e-mail,72
2024-06-30,71441406,CCLA PEDRO LEOPOLDO,PJ,Celular,470
2023-06-30,42934794,CC CREDIPIMENTA,PJ,CNPJ,107
2023-09-30,06910457,CCLA SANTA CRUZ PALMEIRAS,PF,Aleatória,990
2024-01-31,01736516,CCLA REG. CTR. E OESTE MINEIRO,PJ,e-mail,1121
2024-03-31,01703620,CCLA UNIÃO CENTRO OESTE MINAS,PF,Aleatória,2063
2023-11-30,04388688,CC SICOOB ENGECRED,PJ,CNPJ,2332
2024-04-30,99999060,N/A,PF,Aleatória,5
2023-03-31,02057584,CC SICOOB SERTÃO,PJ,e-mail,399
2025-03-31,44705774,SOMAPAY SCD S.A.,PF,e-mail,6008
2024-08-31,09424988,CCLA DO OESTE MARANHENSE - SICOOB OESTE MARANHENSE,PF,Celular,1237
2023-04-30,35210410,ONEKEY PAYMENTS IP S.A.,PF,e-mail,9
2025-02-28,01522368,BCO BNP PARIBAS BRASIL S A,PJ,e-mail,2
2023-02-28,71392047,CC MONTECREDI LTDA.,PF,e-mail,434
2025-06-30,66402207,COOPERATIVA DE CRÉDITO SAROM,PF,CPF,12920
2025-01-31,01658426,COOP COOPERFORTE LTDA.,PF,Aleatória,890
2024-08-31,04388688,CC SICOOB ENGECRED,PJ,Celular,363
2023-03-31,01073966,CCR DE ABELARDO LUZ,PJ,e-mail,166
2025-03-31,37079720,COOP SICOOB CREDIJUSTRA,PJ,e-mail,297
2025-05-31,78858107,CCLAA AURIVERDE-SICOOB CREDIAL,PF,Aleatória,2840
2024-06-30,01648418,NSTECH IP S.A.,PJ,Aleatória,1
2025-04-30,10209619,CCLA DA GRANDE GOIÂNIA LTDA.,PJ,Celular,523
2023-09-30,09004796,CECM SICOOB CRED-ACILPA,PJ,CNPJ,307
2023-10-31,04463602,COOP SICREDI CEN OEST PAULISTA,PJ,Aleatória,4120
2024-05-31,95594941,COOP SICREDI REG CENTRO RS/MG,PF,e-mail,12186
2024-08-31,09552111,COOP JUST GOIAS E CELG,PJ,Celular,43
2023-06-30,09463721,COOP CRESOL JACINTO MACHADO,PF,e-mail,243
2024-04-30,13370835,DOCK IP S.A.,PF,Celular,148975
2025-03-31,04902979,BCO DA AMAZONIA S.A.,PJ,e-mail,6001
2025-07-31,11969853,COOP CRESOL CONEXÃO,PF,CPF,3136
2024-12-31,33630661,GOWD IP LTDA.,PJ,Aleatória,37
2024-11-30,00068987,CC ARACREDI LTDA.,PJ,Aleatória,641
2023-09-30,10175348,CCMLA REGIãO ADMINISTRATIVA DE SOROCABA,PF,Aleatória,795
2024-04-30,90400888,BCO SANTANDER (BRASIL) S.A.,PJ,e-mail,197885
2024-09-30,71698674,COOP SICOOB MANTIQUEIRA,PJ,Celular,980
2024-05-31,05969937,CCMS MUNICIPAIS DE BEBEDOURO,PF,Aleatória,103
2023-04-30,00315557,UNICRED DO BRASIL,PJ,Celular,1
2023-10-31,44683140,MAGNUM SCD,PF,CPF,4
2023-04-30,00329598,SEFER INVESTIMENTOS DTVM LTDA,PJ,CNPJ,7
2024-12-31,16814330,BK IP S.A.,PJ,e-mail,977
2024-12-31,62232889,BCO DAYCOVAL S.A,PF,Celular,7867
2023-08-31,53623781,CC COOPCRED,PJ,Celular,522
2023-04-30,02883398,CC VALE ITAJAÍ E ITAPOCÚ,PF,e-mail,602
2025-07-31,82842386,INFOPAGO,PF,Celular,7
2024-07-31,01727929,CC UNICRED EVOLUÇÃO LTDA.,PJ,Aleatória,1101
2025-04-30,37753531,PAGSMILE IP LTDA.,PF,Aleatória,3
2023-02-28,19962468,COOP SICREDI COOABCRED RS,PF,Celular,385
2024-03-31,17351180,BCO TRIANGULO S.A.,PF,CPF,7269
2023-06-30,62109566,CREDISAN CC,PF,Celular,1135
2025-08-31,22760839,CC NOSSOCREDITO,PF,Celular,4250
2023-01-31,05582619,CC SICOOB OURO VERDE,PJ,e-mail,2142
2025-07-31,32422628,CCR DE GUACUI,PJ,Aleatória,1
2023-05-31,09343038,COOP SICREDI ALTSERTÃO PARAIBANO,PF,Aleatória,582
2024-04-30,07564184,COOP ASCOOB SERTÕES,PF,CPF,1
2024-04-30,21018182,EBANX IP LTDA.,PF,Celular,63
2025-04-30,13720915,BCO WESTERN UNION,PJ,e-mail,16
2024-07-31,31818873,QESH IP LTDA.,PJ,Aleatória,55
2024-11-30,46642294,COOP SICOOB COOPEREMB,PF,CPF,1604
2024-08-31,01042487,CC SICOOB UNIDAS,PJ,Celular,5
2023-02-28,04013172,CC SICOOB 3 COLINAS,PJ,CNPJ,2335
2024-08-31,21866694,CC CREDINOR,PF,Aleatória,5696
2024-03-31,32474884,SICOOB SUL-LITORÂNEO,PJ,CNPJ,6478
2024-12-31,23273917,VALLOO PAGAMENTOS,PJ,e-mail,2
2024-11-30,59285411,BANCO PAN,PJ,Aleatória,3
2025-08-31,11351086,MERCADO BITCOIN IP LTDA,PF,Aleatória,3651
2025-08-31,01739375,CCLA LAGOA DA PRATA,PJ,Aleatória,646
2025-02-28,86913993,COOP SICREDI CARIRI,PF,e-mail,1
2024-02-29,03269540,CC SERV MIL POL CIVIL SEC ED,PF,e-mail,1696
2024-06-30,24313102,99PAY IP S.A.,PJ,CNPJ,3
2024-05-31,04484490,COOP SICREDI ALTA NOROESTE SP,PJ,Aleatória,1921
2024-02-29,95213211,COOP SICREDI CAMINHO DAS ÁGUAS RS,PF,CPF,27706
2025-06-30,33615055,CCLA ANÁPOLIS E REGIÃO,PJ,e-mail,314
2024-09-30,23949522,CC CREDICARPA,PJ,Celular,249
2023-09-30,04350225,COOP CRESOL TRADICAO,PJ,Celular,696
2025-06-30,02766672,COOP CRESOL PLANALTO SUL,PJ,Celular,425
2024-02-29,94243839,UNICRED PIONEIRA,PJ,e-mail,81
2024-11-30,81706616,COOP SICREDI VLR SUSTENT PR/SP,PF,e-mail,4399
2024-06-30,68900810,BCO RENDIMENTO S.A.,PJ,CNPJ,1269
2023-01-31,02587492,CCLA URUBICI,PF,Aleatória,708
2023-04-30,02528151,CC SICOOB CREDCOOP,PJ,CNPJ,624
2025-03-31,27098060,BANCO DIGIO,PF,CPF,128217
2025-04-30,78865995,CCLA VALE DO RIO DO PEIXE,PJ,Aleatória,455
2024-10-31,03662047,COOP SICREDI MP,PF,Celular,132
2024-07-31,17343510,COOP CRESOL RAIZ,PF,Celular,6335
2025-04-30,58160789,BCO SAFRA S.A.,PF,Celular,35140
2023-10-31,09463721,COOP CRESOL JACINTO MACHADO,PJ,CNPJ,338
2023-03-31,33579731,CCLA CENTRO-SUL GOIANO,PF,Celular,1963
2024-09-30,87784088,COOP SICREDI SUL MINAS RS/MG,PF,Celular,12161
2025-01-31,07669921,CCM SICOOB CREDIACISC,PJ,Celular,231
2023-06-30,09639338,CECM PRAIA GRANDE E REGIãO,PJ,Celular,2
2023-08-31,04862600,PORTOSEG S.A. CFI,PF,e-mail,1269
2025-02-28,04902979,BCO DA AMAZONIA S.A.,PJ,CNPJ,10597
2024-01-31,24048910,CC CREDINTER,PF,Aleatória,3088
2024-06-30,01559914,CCLA LESTE E NORDESTE MINEIRO,PF,Celular,5541
2024-11-30,40083667,CAPITAL CONSIG SCD S.A.,PJ,CNPJ,3
2024-07-31,92555150,COOP SICREDI ALT SERRA RS/SC,PJ,Celular,1513
2024-04-30,02493000,SICOOB LESTE,PJ,Aleatória,864
2025-01-31,08071414,CECM SICOOB COOPERAC,PJ,Celular,766
2023-12-31,00804046,COOP CREDICAPI LTDA - SICOOB CREDICAPI,PJ,Aleatória,58
2025-03-31,20520298,BS2 PAYMENTS IP S.A.,PF,e-mail,14
2023-02-28,02844024,COOP CRESOL EVOLUÇAO,PJ,e-mail,95
2025-06-30,12481100,BIZ IP LTDA.,PF,CPF,309
2024-08-31,44683140,MAGNUM SCD,PJ,CNPJ,2
2023-02-28,17343510,COOP CRESOL RAIZ,PJ,Celular,463
2025-07-31,37205447,E2 IP LTDA.,PJ,Celular,11
2023-03-31,45246410,BANCO GENIAL,PJ,e-mail,119
2025-03-31,87900411,COOP SICREDI SEMENTES DO SUL,PF,e-mail,4315
2023-08-31,02015588,CCLA DO CENTRO SUL RONDONIENSE,PF,Celular,22689
2025-02-28,27351731,REALIZE CFI S.A.,PF,e-mail,12
2024-06-30,27214112,AL5 S.A. CFI,PJ,CNPJ,4
2024-10-31,05979692,CREDCREA,PF,CPF,5335
2024-10-31,17768068,PINPAG IP S.A.,PJ,Aleatória,8
2023-08-31,62109566,CREDISAN CC,PF,Celular,1180
2023-08-31,08560508,COOP CRESOL TRIUNFO,PF,CPF,1910
2023-12-31,05276770,COOP CRESOL FRONTEIRAS PR/SC/SP/ES,PF,CPF,5224
2025-03-31,02833202,UNICRED SUDOESTE DA BAHIA,PF,Aleatória,447
2024-05-31,02766672,COOP CRESOL PLANALTO SUL,PF,Aleatória,1078
