anomes,municipio_ibge,municipio,estado_ibge,estado,sigla_regiao,regiao,vl_pagadorpf,qt_pagadorpf,vl_pagadorpj,qt_pagadorpj,vl_recebedorpf,qt_recebedorpf,vl_recebedorpj,qt_recebedorpj,qt_pes_pagadorpf,qt_pes_pagadorpj,qt_pes_recebedorpf,qt_pes_recebedorpj
202307,5104609,ITIQUIRA,51,MATO GROSSO,CO,CENTRO-OESTE,24812381.14,118767,8636611.84,9097,23977437.8,76292,8339218.64,19045,6353,438,6128,394
202406,1502756,CONCÓRDIA DO PARÁ,15,PARÁ,NO,NORTE,62381826.33,474577,23076012.52,20048,57977380.58,309416,21423665.34,81014,14027,469,13731,442
202111,4127007,TEIXEIRA SOARES,41,PARANÁ,SU,SUL,7604922.81,20999,7134713.59,3010,7226197.84,15874,6138785.56,3604,2607,192,2534,189
202104,3123007,DORES DE CAMPOS,31,MINAS GERAIS,SE,SUDESTE,3221724.34,5843,13781586.12,1926,4561226.46,6241,12539284.04,2517,1190,195,1293,217
202402,3521101,IPEÚNA,35,SÃO PAULO,SE,SUDESTE,20433525.95,88977,15090247.37,7167,17360128.4,54389,23312146.03,17065,4149,279,4032,269
202401,3106200,BELO HORIZONTE,31,MINAS GERAIS,SE,SUDESTE,11507618318.81,43358239,16936162655.94,6396190,12004478569.62,28801901,17676784382.31,23731631,1733697,190154,1708990,172064
202111,5005202,LADÁRIO,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,14636143.96,70762,4158472.13,2220,14361749.05,59216,2405547.13,3356,6089,156,6364,162
202407,2922508,NAZARÉ,29,BAHIA,NE,NORDESTE,81579011.77,623764,16557985.9,20532,79851511.51,438733,15431479.17,65119,17447,702,17414,644
202103,3129103,GURINHATÃ,31,MINAS GERAIS,SE,SUDESTE,1699916.69,3050,701086.13,229,2359109.16,2657,646904.53,165,559,37,631,37
202307,3106200,BELO HORIZONTE,31,MINAS GERAIS,SE,SUDESTE,10171913575.06,37108270,14338916132.45,5661865,10640603586.38,26920028,14139669846.24,18830320,1660734,177662,1650940,161491
202101,2922508,NAZARÉ,29,BAHIA,NE,NORDESTE,4087707.07,11001,624482.12,526,4173775.44,11165,413401.32,381,2097,118,2658,93
202311,1502756,CONCÓRDIA DO PARÁ,15,PARÁ,NO,NORTE,49533429.2,352194,18370214.15,15013,45254421.19,235840,16982161.94,57906,12409,434,12164,416
202203,5104609,ITIQUIRA,51,MATO GROSSO,CO,CENTRO-OESTE,13869691.81,55308,4167209.88,4188,13576587.83,41818,4497468.29,7357,4617,289,4447,275
202312,5005202,LADÁRIO,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,54651833.92,421147,12016501.69,10652,50568618.63,247057,9625108.04,32108,11264,282,11281,272
202109,5005202,LADÁRIO,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,13898470.35,61044,2432871.58,1747,13723028.8,51866,2754336.56,2298,5844,142,5968,140
202407,3129103,GURINHATÃ,31,MINAS GERAIS,SE,SUDESTE,14316571.64,50960,3543413.81,2994,15165205.84,31469,2513353.72,7466,2316,103,2283,105
202103,4127007,TEIXEIRA SOARES,41,PARANÁ,SU,SUL,2784028.51,6035,3026778.59,1041,2721852.47,5155,3427791.02,1180,1198,117,1233,120
202501,3129103,GURINHATÃ,31,MINAS GERAIS,SE,SUDESTE,15559169.21,54993,2979469.74,3280,17723825.56,31777,2445304.84,9311,2351,111,2308,119
202310,1502756,CONCÓRDIA DO PARÁ,15,PARÁ,NO,NORTE,45792254.51,331384,16765027.99,13604,43527546.43,226591,15391344.7,52141,12265,428,11923,414
202311,3524600,JACUPIRANGA,35,SÃO PAULO,SE,SUDESTE,37731104.54,239432,15096811.92,14549,37146401.69,148857,20404337.1,32223,9217,525,9260,520
202404,3106200,BELO HORIZONTE,31,MINAS GERAIS,SE,SUDESTE,12491011768.17,48001910,20265318260.55,6305030,13146300130.95,32019637,19110297306.25,20127718,1769351,200481,1745265,181549
202407,1502756,CONCÓRDIA DO PARÁ,15,PARÁ,NO,NORTE,64244085.5,481980,26846640.58,22104,59799538.03,307092,24660204.91,82266,14291,476,13856,457
202106,3203346,MARECHAL FLORIANO,32,ESPÍRITO SANTO,SE,SUDESTE,9804767.76,21784,3698902.35,2597,10460439.91,22452,11117770.89,4285,3324,320,3378,341
202410,4127007,TEIXEIRA SOARES,41,PARANÁ,SU,SUL,25828610.73,130343,19880530.02,10868,28685210.53,68500,12620718.25,18640,5468,398,5256,344
202412,3106200,BELO HORIZONTE,31,MINAS GERAIS,SE,SUDESTE,16376470758.79,61469737,33042663092.36,39327089,17063397506.84,39046394,32333671203.11,146139848,1859715,217848,1842685,198371
202508,5104609,ITIQUIRA,51,MATO GROSSO,CO,CENTRO-OESTE,46396620.94,240004,62330846.26,17903,46565988.72,130536,61157162.43,44599,7608,560,7395,527
202106,1502756,CONCÓRDIA DO PARÁ,15,PARÁ,NO,NORTE,10570969.73,34949,2125614.89,2023,9292817.39,34084,1967131.56,2869,4173,166,3858,166
202011,4127007,TEIXEIRA SOARES,41,PARANÁ,SU,SUL,100343.91,315,510546.62,36,135379.5,328,512372.28,40,150,16,160,15
202210,5005202,LADÁRIO,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,26552987.51,165003,4072951.82,4622,26438640.2,124171,4756440.92,11293,8906,214,9137,214
202408,5005202,LADÁRIO,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,57730249.92,533344,7662093.2,11448,53481529.04,293782,9220446.0,37465,12173,314,12099,302
202506,2922508,NAZARÉ,29,BAHIA,NE,NORDESTE,101025996.28,762611,21258604.45,27059,97257693.7,516681,21664214.52,97236,18278,724,18269,690
202107,3524600,JACUPIRANGA,35,SÃO PAULO,SE,SUDESTE,10757677.76,40271,5262621.61,3127,10955683.42,38889,6292858.49,5724,4859,261,4969,306
202206,2306553,ITAREMA,23,CEARÁ,NE,NORDESTE,35274129.16,170269,11356831.37,8852,40944071.85,149080,11223271.03,16692,10948,430,11196,412
202205,4127007,TEIXEIRA SOARES,41,PARANÁ,SU,SUL,13163461.95,35793,8796055.67,4156,12122698.66,24976,5887908.25,5372,3356,210,3286,199
202403,3131703,ITABIRA,31,MINAS GERAIS,SE,SUDESTE,417406753.81,2079211,176976861.87,120787,382213024.73,1143029,178619454.64,381171,71217,4542,69687,4339
202502,3106200,BELO HORIZONTE,31,MINAS GERAIS,SE,SUDESTE,14284846012.96,54418269,27044101181.26,25181480,14613787418.67,33779974,28149209216.59,100235655,1860355,225121,1822414,205117
202205,5005202,LADÁRIO,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,22695902.11,119610,3931229.02,3516,22485044.22,94372,4433955.86,7500,7717,191,7980,195
202108,4127007,TEIXEIRA SOARES,41,PARANÁ,SU,SUL,5976937.56,16259,5559183.49,2507,5682570.14,13153,6003213.12,2877,2306,168,2183,173
202104,3203346,MARECHAL FLORIANO,32,ESPÍRITO SANTO,SE,SUDESTE,7676395.71,14061,3223357.99,1452,7566427.14,13715,5516870.26,2571,2479,240,2710,305
202406,5104609,ITIQUIRA,51,MATO GROSSO,CO,CENTRO-OESTE,35013154.57,179787,18299535.3,12132,32959283.51,102822,21976476.39,32364,7087,485,6873,460
202402,4127007,TEIXEIRA SOARES,41,PARANÁ,SU,SUL,19703100.83,100014,13329658.58,8497,21926012.01,52030,10667250.44,13740,4965,297,4804,274
202011,1502756,CONCÓRDIA DO PARÁ,15,PARÁ,NO,NORTE,407257.99,1169,154294.68,66,426432.96,1248,154455.12,46,467,21,407,17
202408,5104609,ITIQUIRA,51,MATO GROSSO,CO,CENTRO-OESTE,39287710.87,192178,20067482.95,14539,37200957.71,107908,28427751.88,34178,7141,514,7024,472
202302,1502756,CONCÓRDIA DO PARÁ,15,PARÁ,NO,NORTE,31722957.06,192235,11166047.23,10578,29224815.35,147965,10427766.49,31829,10177,357,9974,338
202204,2922508,NAZARÉ,29,BAHIA,NE,NORDESTE,27847341.45,164919,6272924.69,7289,28277107.67,149783,5550060.1,11993,9672,465,10644,435
202207,5104609,ITIQUIRA,51,MATO GROSSO,CO,CENTRO-OESTE,17552104.24,72619,19568614.44,5808,16211181.43,53244,5437892.62,11250,5223,329,5013,326
202504,4127007,TEIXEIRA SOARES,41,PARANÁ,SU,SUL,34958839.59,157085,19801289.46,11510,43708492.56,78355,16358246.3,23067,5700,380,5534,346
202206,3524600,JACUPIRANGA,35,SÃO PAULO,SE,SUDESTE,19468155.06,88455,8636706.49,6919,21251227.8,107741,12896081.6,181365,6881,403,6993,411
202402,2922508,NAZARÉ,29,BAHIA,NE,NORDESTE,64739987.18,514705,12144392.95,14887,64691735.9,368351,10718539.29,43771,16134,644,16273,591
202112,1502756,CONCÓRDIA DO PARÁ,15,PARÁ,NO,NORTE,18836015.06,84206,6939139.62,5159,17984056.22,74367,5900903.0,10612,5660,242,5963,246
202211,5104609,ITIQUIRA,51,MATO GROSSO,CO,CENTRO-OESTE,18963437.69,82658,9086133.31,7146,17944821.92,57323,8405498.25,14924,5576,361,5366,348
202111,3106200,BELO HORIZONTE,31,MINAS GERAIS,SE,SUDESTE,5478996934.18,15191650,5866421484.69,2014845,5597376228.93,13351982,5497578567.36,3664507,1264131,121841,1275048,111118
202409,3557105,VOTUPORANGA,35,SÃO PAULO,SE,SUDESTE,392739981.47,1543975,614896155.67,162189,415412467.9,943881,496288115.15,495083,59296,6039,57621,5583
202309,2922508,NAZARÉ,29,BAHIA,NE,NORDESTE,56322580.08,448007,9596222.15,15129,56178800.12,330591,9102674.3,38174,15080,630,15290,588
202210,3129103,GURINHATÃ,31,MINAS GERAIS,SE,SUDESTE,8453437.87,22682,1290516.16,1315,9073337.76,16331,2154505.56,2605,1729,85,1774,90
202504,5005202,LADÁRIO,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,64742100.64,637497,8068097.38,12878,59439255.93,337229,11824598.07,42538,12798,339,12596,328
202301,5104609,ITIQUIRA,51,MATO GROSSO,CO,CENTRO-OESTE,17941278.87,85939,8728344.88,7799,16817934.19,56670,6703216.31,15298,5727,371,5412,352
202308,3106200,BELO HORIZONTE,31,MINAS GERAIS,SE,SUDESTE,10500349420.18,38979666,13571778095.21,5758589,10980120104.18,27966149,13515008304.55,19260252,1677371,181448,1662608,164413
202307,1502756,CONCÓRDIA DO PARÁ,15,PARÁ,NO,NORTE,41883221.26,288139,14352676.35,13701,39158001.35,205123,14155731.75,45752,11534,421,11547,393
202011,2922508,NAZARÉ,29,BAHIA,NE,NORDESTE,636882.59,1854,171288.72,116,700216.31,1881,72479.09,40,597,27,680,21
202106,3101102,AIMORÉS,31,MINAS GERAIS,SE,SUDESTE,14722398.45,32305,3350093.38,1705,13171224.53,32600,2491556.33,2539,5039,273,5084,306
202409,3123007,DORES DE CAMPOS,31,MINAS GERAIS,SE,SUDESTE,21743079.1,115621,34919603.62,16591,22354238.69,72899,37040723.24,38895,4850,697,4672,611
202411,3521101,IPEÚNA,35,SÃO PAULO,SE,SUDESTE,23947857.41,128023,16566733.64,11221,25352562.93,76687,21801506.69,26738,4538,295,4415,271
202507,5005202,LADÁRIO,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,71052328.49,688834,10118039.07,15794,65355996.87,366606,13795344.5,54093,12948,347,12792,344
202410,3106200,BELO HORIZONTE,31,MINAS GERAIS,SE,SUDESTE,14359757121.71,55785622,27736388142.51,15267066,15034255855.64,35906571,27609671593.75,54906368,1836531,216437,1812012,195495
202308,3123007,DORES DE CAMPOS,31,MINAS GERAIS,SE,SUDESTE,16440534.56,79179,35717857.26,13313,17501383.72,55284,35236460.8,26770,4231,571,4054,540
202205,1502756,CONCÓRDIA DO PARÁ,15,PARÁ,NO,NORTE,26394663.5,130939,8114076.15,6715,23289165.7,107013,8047868.28,17399,7600,285,7556,281
202301,4127007,TEIXEIRA SOARES,41,PARANÁ,SU,SUL,13637525.61,49121,8260183.49,5003,13781872.79,31460,6463977.9,7572,3992,245,3836,228
202206,5104609,ITIQUIRA,51,MATO GROSSO,CO,CENTRO-OESTE,15855443.46,66492,14540734.93,5429,15176369.16,47536,5234010.47,9457,5052,318,4800,311
202202,5005202,LADÁRIO,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,17149560.3,86337,3381421.92,2455,17175672.95,70448,3635398.67,5075,6792,166,7091,166
202405,4127007,TEIXEIRA SOARES,41,PARANÁ,SU,SUL,28310549.92,121053,14315333.79,9678,31101786.67,62497,14769352.1,16452,5185,322,5030,297
202205,3123007,DORES DE CAMPOS,31,MINAS GERAIS,SE,SUDESTE,10509905.48,39527,31341916.37,8260,12073188.84,32328,31296208.58,13344,3076,436,2965,410
202503,3101102,AIMORÉS,31,MINAS GERAIS,SE,SUDESTE,87249885.77,470755,26052118.7,20159,78754834.86,257352,27315582.43,67004,14834,847,14369,775
202506,3129103,GURINHATÃ,31,MINAS GERAIS,SE,SUDESTE,18337856.33,58812,4032676.78,3262,18571530.98,36240,2739388.28,9696,2334,124,2314,125
202212,3530805,MOGI MIRIM,35,SÃO PAULO,SE,SUDESTE,258687350.98,828769,316693150.74,82709,276467174.17,642079,311336584.23,155537,48880,4110,48335,3941
202102,5104609,ITIQUIRA,51,MATO GROSSO,CO,CENTRO-OESTE,2373264.69,7264,393516.31,555,2290467.68,6425,400897.93,554,1508,104,1592,119
202102,5005202,LADÁRIO,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,4892609.35,13934,648420.82,446,4579690.28,13008,657899.01,299,2593,61,2802,66
202504,3203346,MARECHAL FLORIANO,32,ESPÍRITO SANTO,SE,SUDESTE,69269491.23,325403,66507525.59,28184,74114054.07,198139,93704548.4,82198,10487,939,10343,915
202408,3129103,GURINHATÃ,31,MINAS GERAIS,SE,SUDESTE,14522610.37,51612,3415220.53,3082,15107999.97,31672,2142023.48,7536,2336,110,2287,112
202207,1502756,CONCÓRDIA DO PARÁ,15,PARÁ,NO,NORTE,27943929.42,148519,11211200.75,8193,26265365.79,120115,9292504.75,21897,8243,312,8186,301
202105,1502756,CONCÓRDIA DO PARÁ,15,PARÁ,NO,NORTE,9543519.68,28218,2094845.94,1677,8061493.62,27531,2015966.71,2150,3533,152,3422,148
202105,2922508,NAZARÉ,29,BAHIA,NE,NORDESTE,10824407.24,46385,1915220.21,1876,11656023.42,51833,1528256.3,2013,5176,221,6060,225
202301,3101102,AIMORÉS,31,MINAS GERAIS,SE,SUDESTE,58034748.43,193011,8954718.18,8418,49188046.0,123512,8688437.35,28750,11111,570,10572,561
202110,3129103,GURINHATÃ,31,MINAS GERAIS,SE,SUDESTE,4042289.72,9572,405810.07,529,4886033.69,8211,700567.24,713,1230,55,1219,61
202211,4127007,TEIXEIRA SOARES,41,PARANÁ,SU,SUL,13912957.77,46633,9626673.55,4982,13626191.19,31153,7712906.47,7478,3866,248,3714,240
202202,3524600,JACUPIRANGA,35,SÃO PAULO,SE,SUDESTE,16208635.81,65398,5993334.85,5093,16691214.4,54945,8640179.47,10231,5985,360,6156,378
202207,3101102,AIMORÉS,31,MINAS GERAIS,SE,SUDESTE,56841469.42,142854,11972444.63,7548,50304868.82,102983,11153979.43,21066,9682,516,9343,506
202107,5005202,LADÁRIO,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,12663908.94,51589,3162024.22,1549,12366785.59,46526,2759844.43,1929,5460,119,5548,125
202302,3129103,GURINHATÃ,31,MINAS GERAIS,SE,SUDESTE,9051694.74,25164,1927445.52,1362,9173386.89,17601,2254529.26,2822,1870,77,1867,84
202408,3106200,BELO HORIZONTE,31,MINAS GERAIS,SE,SUDESTE,13870502727.36,54609982,24332013647.63,7833028,14504234213.67,35513643,22760217055.05,27050983,1819657,210559,1796398,190231
202410,2922508,NAZARÉ,29,BAHIA,NE,NORDESTE,88457429.25,665608,18064441.05,22244,84807073.43,468163,17058149.77,74185,17773,733,17749,645
202407,4127007,TEIXEIRA SOARES,41,PARANÁ,SU,SUL,26409541.27,123140,15625877.74,10517,30209215.37,63741,12470885.06,17966,5315,315,5085,308
202506,4127007,TEIXEIRA SOARES,41,PARANÁ,SU,SUL,31912240.24,157414,21803066.06,10927,35231592.33,79353,17605685.68,22770,5753,377,5541,355
202201,3506607,BIRITIBA MIRIM,35,SÃO PAULO,SE,SUDESTE,24589129.04,101603,11028458.37,8752,27760735.7,95082,9851870.7,12440,10160,591,10886,564
202507,2922508,NAZARÉ,29,BAHIA,NE,NORDESTE,101088281.87,764485,20786608.71,27219,95840365.38,509106,19104527.23,94776,18341,735,18229,695
202411,3106200,BELO HORIZONTE,31,MINAS GERAIS,SE,SUDESTE,14498318219.35,56374856,29962483480.45,35543894,14969724145.49,35963552,30062070745.6,147930675,1843856,215916,1815452,195812
202312,2922508,NAZARÉ,29,BAHIA,NE,NORDESTE,74725277.5,571449,12290864.75,17262,74292746.41,423825,12424374.82,50349,15965,648,16238,586
202206,3557105,VOTUPORANGA,35,SÃO PAULO,SE,SUDESTE,201343726.47,552564,220338117.56,72862,210100709.74,453650,235104816.18,188023,43127,3965,42012,3874
